,country,id,name,lon,lat,temp,humidity,cloudiness,windspeed
147,US,5801520,Long Beach,-124.054,46.352,45.63,93,90,3.36
148,TR,749262,SÃ¼leymanlar Mahallesi,31.410,41.290,62.60,67,75,6.93
149,AT,7872166,Pfaffing,13.467,48.019,42.60,76,75,11.41
150,ES,2522299,Ajofrin,-3.982,39.711,62.60,29,0,6.93
151,ES,6357153,Navalpino,-4.616,39.252,66.25,60,0,6.40
152,PH,1686066,Siquijor,123.515,9.214,82.23,100,8,7.52
153,US,4516931,Lockland,-84.458,39.229,52.70,100,90,2.59
154,CH,7286761,Ostermundigen,7.496,46.956,50.58,71,75,11.41
155,AT,7873049,Waidhofen an der Thaya,15.322,48.817,39.20,96,75,8.05
156,PK,1167142,Ranipur,68.505,27.288,102.20,26,0,6.93
157,DE,3232620,AltstÃ¤dter GÃ¤rten,9.642,54.311,38.28,69,75,13.87
158,PE,3945985,Camana,-72.711,-16.623,66.25,98,8,5.28
159,DE,2955925,Ansiedlung Mettenhof,10.067,54.317,38.30,93,90,10.29
160,RU,804039,Voskresenskiy,37.322,44.966,50.00,81,40,2.24
161,FR,6443840,Saint-Pierre-lÃ¨s-Nemours,2.683,48.267,51.80,100,92,17.22
162,CH,2660075,Lachen,8.856,47.192,50.31,81,90,4.70
163,IT,6538581,San Giuliano Terme,10.440,43.762,56.55,62,75,3.36
164,IN,7287889,Palackattumala,76.629,9.744,91.40,59,40,9.17
165,PH,1722186,Butuan,125.544,8.949,78.54,97,48,10.76
166,ES,6360537,Santiz,-5.888,41.210,59.00,26,0,20.80
167,US,4309076,South Shore,-82.958,38.721,55.40,93,90,4.70
168,CN,1797782,Qingshanhu,119.812,30.251,73.40,46,0,8.95
169,AT,7871577,Rohrbach bei Mattersburg,16.434,47.696,46.40,75,75,2.24
170,SO,64013,Boosaaso,49.182,11.284,80.60,78,0,9.17
171,NG,2338772,Igbeti,4.133,8.750,98.43,43,20,4.94
172,BO,3910203,Mojotoro,-65.067,-18.917,48.79,100,92,2.93
173,RU,2024212,Gakhan,110.850,54.700,20.26,62,32,3.71
174,DE,2938701,Dautphe,8.533,50.850,45.77,100,90,9.17
175,US,5182434,Burnham,-77.569,40.639,36.59,100,90,2.71
176,DE,2940696,BÃ¼ÃŸfeld,9.000,50.700,45.34,71,75,6.93
177,FR,6433469,Vizille,5.772,45.078,52.66,81,75,3.36
178,RU,556951,Ilskiy,38.567,44.842,48.20,81,90,4.47
179,CH,6458757,District de la Neuveville,7.111,47.096,49.98,76,90,4.70
180,DE,2803624,Zweenfurth,12.550,51.333,42.67,93,90,5.82
181,SS,366444,Tambura,27.467,5.600,89.11,58,76,8.63
182,RO,674885,Leordeni,25.117,44.783,47.89,82,48,3.71
183,FR,3037531,Annet-sur-Marne,2.720,48.927,52.83,93,75,16.11
184,CH,7285155,BÃ¤retswil,8.872,47.338,50.02,87,90,9.17
